repo;metric;value
Esri/server-extension-java;ContainsPropertiesCount;1
Esri/server-extension-java;ContainsActivationCount;1
Esri/server-extension-java;ContainsTestsCount;0
Esri/server-extension-java;ContainsDevCount;0
Esri/server-extension-java;ContainsProdCount;0
Esri/server-extension-java;PropertiesContainsVersionCount;0
Esri/spatial-framework-for-hadoop;ProfilesCount;1
Esri/spatial-framework-for-hadoop;ContainsReleaseCount;1
Esri/spatial-framework-for-hadoop;ContainsPropertiesCount;1
Esri/spatial-framework-for-hadoop;ContainsActivationCount;1
Esri/spatial-framework-for-hadoop;ContainsTestsCount;0
Esri/spatial-framework-for-hadoop;ContainsDevCount;0
Esri/spatial-framework-for-hadoop;ContainsProdCount;0
Esri/spatial-framework-for-hadoop;PropertiesContainsVersionCount;1
GoogleCloudPlatform/app-maven-plugin;ProfilesCount;1
GoogleCloudPlatform/app-maven-plugin;ContainsReleaseCount;1
GoogleCloudPlatform/app-maven-plugin;ContainsPropertiesCount;1
GoogleCloudPlatform/app-maven-plugin;ContainsActivationCount;0
GoogleCloudPlatform/app-maven-plugin;ContainsTestsCount;1
GoogleCloudPlatform/app-maven-plugin;ContainsDevCount;0
GoogleCloudPlatform/app-maven-plugin;ContainsProdCount;0
GoogleCloudPlatform/app-maven-plugin;PropertiesContainsVersionCount;0
GoogleCloudPlatform/cloud-opensource-java;ProfilesCount;1
GoogleCloudPlatform/cloud-opensource-java;ContainsReleaseCount;1
GoogleCloudPlatform/cloud-opensource-java;ContainsPropertiesCount;0
GoogleCloudPlatform/cloud-opensource-java;ContainsActivationCount;1
GoogleCloudPlatform/cloud-opensource-java;ContainsTestsCount;0
GoogleCloudPlatform/cloud-opensource-java;ContainsDevCount;0
GoogleCloudPlatform/cloud-opensource-java;ContainsProdCount;0
GoogleCloudPlatform/cloud-opensource-java;PropertiesContainsVersionCount;0
GoogleCloudPlatform/cloud-spanner-r2dbc;ProfilesCount;1
GoogleCloudPlatform/cloud-spanner-r2dbc;ContainsReleaseCount;1
GoogleCloudPlatform/cloud-spanner-r2dbc;ContainsPropertiesCount;0
GoogleCloudPlatform/cloud-spanner-r2dbc;ContainsActivationCount;1
GoogleCloudPlatform/cloud-spanner-r2dbc;ContainsTestsCount;0
GoogleCloudPlatform/cloud-spanner-r2dbc;ContainsDevCount;0
GoogleCloudPlatform/cloud-spanner-r2dbc;ContainsProdCount;0
GoogleCloudPlatform/cloud-spanner-r2dbc;PropertiesContainsVersionCount;0
GoogleCloudPlatform/getting-started-java;ProfilesCount;1
GoogleCloudPlatform/getting-started-java;ContainsReleaseCount;0
GoogleCloudPlatform/getting-started-java;ContainsPropertiesCount;0
GoogleCloudPlatform/getting-started-java;ContainsActivationCount;0
GoogleCloudPlatform/getting-started-java;ContainsTestsCount;0
GoogleCloudPlatform/getting-started-java;ContainsDevCount;0
GoogleCloudPlatform/getting-started-java;ContainsProdCount;0
GoogleCloudPlatform/getting-started-java;PropertiesContainsVersionCount;0
GoogleCloudPlatform/google-cloud-spanner-hibernate;ProfilesCount;1
GoogleCloudPlatform/google-cloud-spanner-hibernate;ContainsReleaseCount;1
GoogleCloudPlatform/google-cloud-spanner-hibernate;ContainsPropertiesCount;0
GoogleCloudPlatform/google-cloud-spanner-hibernate;ContainsActivationCount;1
GoogleCloudPlatform/google-cloud-spanner-hibernate;ContainsTestsCount;0
GoogleCloudPlatform/google-cloud-spanner-hibernate;ContainsDevCount;0
GoogleCloudPlatform/google-cloud-spanner-hibernate;ContainsProdCount;0
GoogleCloudPlatform/google-cloud-spanner-hibernate;PropertiesContainsVersionCount;0
Huawei/cloud-sdk-java;ProfilesCount;1
Huawei/cloud-sdk-java;ContainsReleaseCount;1
Huawei/cloud-sdk-java;ContainsPropertiesCount;0
Huawei/cloud-sdk-java;ContainsActivationCount;0
Huawei/cloud-sdk-java;ContainsTestsCount;0
Huawei/cloud-sdk-java;ContainsDevCount;0
Huawei/cloud-sdk-java;ContainsProdCount;0
Huawei/cloud-sdk-java;PropertiesContainsVersionCount;0
IBM/appid-spring-boot-starter;ProfilesCount;1
IBM/appid-spring-boot-starter;ContainsReleaseCount;1
IBM/appid-spring-boot-starter;ContainsPropertiesCount;0
