repo,metric,value
IBM/microprofile-meeting-websockets,ActivationContainsOSCount,0
IBM/microprofile-meeting-websockets,ActivationContainsPropertyCount,1
IBM/microprofile-meeting-websockets,ActivationContainsFileCount,0
IBM/microprofile-meeting-websockets,ActivationIsActiveByDefaultCount,0
JetBrains/TeamCity.VsOnline.WorkItems,ProfilesCount,1
JetBrains/TeamCity.VsOnline.WorkItems,ContainsActivationCount,1
JetBrains/TeamCity.VsOnline.WorkItems,ActivationContainsJDKCount,0
JetBrains/TeamCity.VsOnline.WorkItems,ActivationContainsOSCount,0
JetBrains/TeamCity.VsOnline.WorkItems,ActivationContainsPropertyCount,0
JetBrains/TeamCity.VsOnline.WorkItems,ActivationContainsFileCount,0
JetBrains/TeamCity.VsOnline.WorkItems,ActivationIsActiveByDefaultCount,1
JetBrains/intellij-deps-ini4j,ProfilesCount,2
JetBrains/intellij-deps-ini4j,ContainsActivationCount,2
JetBrains/intellij-deps-ini4j,ActivationContainsJDKCount,0
JetBrains/intellij-deps-ini4j,ActivationContainsOSCount,1
JetBrains/intellij-deps-ini4j,ActivationContainsPropertyCount,0
JetBrains/intellij-deps-ini4j,ActivationContainsFileCount,0
JetBrains/intellij-deps-ini4j,ActivationIsActiveByDefaultCount,1
JetBrains/java-mission-control,ProfilesCount,3
JetBrains/java-mission-control,ContainsActivationCount,1
JetBrains/java-mission-control,ActivationContainsJDKCount,0
JetBrains/java-mission-control,ActivationContainsOSCount,0
JetBrains/java-mission-control,ActivationContainsPropertyCount,0
JetBrains/java-mission-control,ActivationContainsFileCount,0
JetBrains/java-mission-control,ActivationIsActiveByDefaultCount,1
JetBrains/teamcity-bitbucket-issues,ProfilesCount,1
JetBrains/teamcity-bitbucket-issues,ContainsActivationCount,1
JetBrains/teamcity-bitbucket-issues,ActivationContainsJDKCount,0
JetBrains/teamcity-bitbucket-issues,ActivationContainsOSCount,0
JetBrains/teamcity-bitbucket-issues,ActivationContainsPropertyCount,0
JetBrains/teamcity-bitbucket-issues,ActivationContainsFileCount,0
JetBrains/teamcity-bitbucket-issues,ActivationIsActiveByDefaultCount,1
JetBrains/teamcity-deployer-plugin,ProfilesCount,2
JetBrains/teamcity-deployer-plugin,ContainsActivationCount,1
JetBrains/teamcity-deployer-plugin,ActivationContainsJDKCount,0
JetBrains/teamcity-deployer-plugin,ActivationContainsOSCount,0
JetBrains/teamcity-deployer-plugin,ActivationContainsPropertyCount,0
JetBrains/teamcity-deployer-plugin,ActivationContainsFileCount,0
JetBrains/teamcity-deployer-plugin,ActivationIsActiveByDefaultCount,1
JetBrains/teamcity-github-issues,ProfilesCount,1
JetBrains/teamcity-github-issues,ContainsActivationCount,1
JetBrains/teamcity-github-issues,ActivationContainsJDKCount,0
JetBrains/teamcity-github-issues,ActivationContainsOSCount,0
JetBrains/teamcity-github-issues,ActivationContainsPropertyCount,0
JetBrains/teamcity-github-issues,ActivationContainsFileCount,0
JetBrains/teamcity-github-issues,ActivationIsActiveByDefaultCount,1
SAP/cf-java-client-sap,ProfilesCount,2
SAP/cf-java-client-sap,ContainsActivationCount,1
SAP/cf-java-client-sap,ActivationContainsJDKCount,0
SAP/cf-java-client-sap,ActivationContainsOSCount,0
SAP/cf-java-client-sap,ActivationContainsPropertyCount,0
SAP/cf-java-client-sap,ActivationContainsFileCount,0
SAP/cf-java-client-sap,ActivationIsActiveByDefaultCount,1
SAP/cloud-neo-api-client,ProfilesCount,3
SAP/cloud-neo-api-client,ContainsActivationCount,3
SAP/cloud-neo-api-client,ActivationContainsJDKCount,0
SAP/cloud-neo-api-client,ActivationContainsOSCount,0
SAP/cloud-neo-api-client,ActivationContainsPropertyCount,1
SAP/cloud-neo-api-client,ActivationContainsFileCount,0
SAP/cloud-neo-api-client,ActivationIsActiveByDefaultCount,2
SAP/cloud-rest-api-client,ProfilesCount,2
SAP/cloud-rest-api-client,ContainsActivationCount,2
SAP/cloud-rest-api-client,ActivationContainsJDKCount,0
SAP/cloud-rest-api-client,ActivationContainsOSCount,0
SAP/cloud-rest-api-client,ActivationContainsPropertyCount,1
SAP/cloud-rest-api-client,ActivationContainsFileCount,0
SAP/cloud-rest-api-client,ActivationIsActiveByDefaultCount,1
SAP/cloud-security-xsuaa-integration,ProfilesCount,2
SAP/cloud-security-xsuaa-integration,ContainsActivationCount,1
SAP/cloud-security-xsuaa-integration,ActivationContainsJDKCount,0
SAP/cloud-security-xsuaa-integration,ActivationContainsOSCount,0
SAP/cloud-security-xsuaa-integration,ActivationContainsPropertyCount,0
SAP/cloud-security-xsuaa-integration,ActivationContainsFileCount,0
SAP/cloud-security-xsuaa-integration,ActivationIsActiveByDefaultCount,1
SAP/hana-liquibase,ProfilesCount,1
SAP/hana-liquibase,ContainsActivationCount,1
SAP/hana-liquibase,ActivationContainsJDKCount,0
SAP/hana-liquibase,ActivationContainsOSCount,0
SAP/hana-liquibase,ActivationContainsPropertyCount,1
SAP/hana-liquibase,ActivationContainsFileCount,0
SAP/hana-liquibase,ActivationIsActiveByDefaultCount,0
SAP/pair-distribution-app,ProfilesCount,2
SAP/pair-distribution-app,ContainsActivationCount,2
SAP/pair-distribution-app,ActivationContainsJDKCount,0
SAP/pair-distribution-app,ActivationContainsOSCount,0
SAP/pair-distribution-app,ActivationContainsPropertyCount,0
SAP/pair-distribution-app,ActivationContainsFileCount,0
SAP/pair-distribution-app,ActivationIsActiveByDefaultCount,2
SonarSource/SonarJS,ProfilesCount,2
SonarSource/SonarJS,ContainsActivationCount,1
SonarSource/SonarJS,ActivationContainsJDKCount,1
SonarSource/SonarJS,ActivationContainsOSCount,0
SonarSource/SonarJS,ActivationContainsPropertyCount,0
SonarSource/SonarJS,ActivationContainsFileCount,0
SonarSource/SonarJS,ActivationIsActiveByDefaultCount,0
SonarSource/sonar-java,ProfilesCount,1
SonarSource/sonar-java,ContainsActivationCount,1
SonarSource/sonar-java,ActivationContainsJDKCount,1
SonarSource/sonar-java,ActivationContainsOSCount,0
SonarSource/sonar-java,ActivationContainsPropertyCount,0
SonarSource/sonar-java,ActivationContainsFileCount,0
SonarSource/sonar-java,ActivationIsActiveByDefaultCount,0
SonarSource/sonar-php,ProfilesCount,2
SonarSource/sonar-php,ContainsActivationCount,1
SonarSource/sonar-php,ActivationContainsJDKCount,1
SonarSource/sonar-php,ActivationContainsOSCount,0
SonarSource/sonar-php,ActivationContainsPropertyCount,0
SonarSource/sonar-php,ActivationContainsFileCount,0
SonarSource/sonar-php,ActivationIsActiveByDefaultCount,0
SonarSource/sonar-python,ProfilesCount,2
SonarSource/sonar-python,ContainsActivationCount,1
SonarSource/sonar-python,ActivationContainsJDKCount,1
SonarSource/sonar-python,ActivationContainsOSCount,0
SonarSource/sonar-python,ActivationContainsPropertyCount,0
SonarSource/sonar-python,ActivationContainsFileCount,0
SonarSource/sonar-python,ActivationIsActiveByDefaultCount,0
Talend/daikon,ProfilesCount,2
Talend/daikon,ContainsActivationCount,2
Talend/daikon,ActivationContainsJDKCount,0
Talend/daikon,ActivationContainsOSCount,0
Talend/daikon,ActivationContainsPropertyCount,2
Talend/daikon,ActivationContainsFileCount,0
Talend/daikon,ActivationIsActiveByDefaultCount,0
adobe/S3Mock,ProfilesCount,2
adobe/S3Mock,ContainsActivationCount,2
adobe/S3Mock,ActivationContainsJDKCount,1
adobe/S3Mock,ActivationContainsOSCount,0
adobe/S3Mock,ActivationContainsPropertyCount,0
adobe/S3Mock,ActivationContainsFileCount,0
adobe/S3Mock,ActivationIsActiveByDefaultCount,1
adobe/aem-contrib-wcm-components,ProfilesCount,2
adobe/aem-contrib-wcm-components,ContainsActivationCount,2
adobe/aem-contrib-wcm-components,ActivationContainsJDKCount,0
adobe/aem-contrib-wcm-components,ActivationContainsOSCount,0
adobe/aem-contrib-wcm-components,ActivationContainsPropertyCount,0
adobe/aem-contrib-wcm-components,ActivationContainsFileCount,0
adobe/aem-contrib-wcm-components,ActivationIsActiveByDefaultCount,2
adobe/commerce-cif-api,ProfilesCount,1
adobe/commerce-cif-api,ContainsActivationCount,1
adobe/commerce-cif-api,ActivationContainsJDKCount,0
adobe/commerce-cif-api,ActivationContainsOSCount,0
adobe/commerce-cif-api,ActivationContainsPropertyCount,1
adobe/commerce-cif-api,ActivationContainsFileCount,0
adobe/commerce-cif-api,ActivationIsActiveByDefaultCount,0
