name,url,default_branch,stars
apigee/apigee-config-maven-plugin,https://github.com/apigee/apigee-config-maven-plugin,master,30
superleeyom/ssm-demo,https://github.com/superleeyom/ssm-demo,master,30
govo/PomeloForEgret,https://github.com/govo/PomeloForEgret,master,29
NetEase/pomelo-globalchannel-plugin,https://github.com/NetEase/pomelo-globalchannel-plugin,master,29
jonfuller/pomodo7o,https://github.com/jonfuller/pomodo7o,master,29
grails-samples/grails-pomodoro,https://github.com/grails-samples/grails-pomodoro,master,29
NetEase/pomelo-mqtt-connector,https://github.com/NetEase/pomelo-mqtt-connector,master,29
tasomaniac/WearPomodoro,https://github.com/tasomaniac/WearPomodoro,develop,29
vrybas/pomodoro-scripts,https://github.com/vrybas/pomodoro-scripts,master,29
alexfi/pomodrone-web,https://github.com/alexfi/pomodrone-web,master,29
jferna57/PomoTodo,https://github.com/jferna57/PomoTodo,master,28
NetEase/pomelo-cli,https://github.com/NetEase/pomelo-cli,master,28
eosiosg/pomelo,https://github.com/eosiosg/pomelo,master,28
mbforbes/py-pomdp,https://github.com/mbforbes/py-pomdp,master,28
ecbrodie/pomodoro-alfred,https://github.com/ecbrodie/pomodoro-alfred,master,28
Neway6655/Sublime-Pomodoro,https://github.com/Neway6655/Sublime-Pomodoro,master,28
johnafish/pomodoro_skill,https://github.com/johnafish/pomodoro_skill,master,28
yogsototh/pomodoro,https://github.com/yogsototh/pomodoro,master,28
release-engineering/pom-manipulation-ext,https://github.com/release-engineering/pom-manipulation-ext,master,27
simpligility/progressive-organization-pom,https://github.com/simpligility/progressive-organization-pom,master,27
carsonip/alexa-pomodoro,https://github.com/carsonip/alexa-pomodoro,master,27
fakufaku/Pomodoro,https://github.com/fakufaku/Pomodoro,master,27
samuelsimoes/pomotasking,https://github.com/samuelsimoes/pomotasking,master,27
mrdon/maven-trap,https://github.com/mrdon/maven-trap,master,27
airlift/airbase,https://github.com/airlift/airbase,master,26
danybony/wear-pomodoro,https://github.com/danybony/wear-pomodoro,master,26
verygoodwlk/shop_1810pom,https://github.com/verygoodwlk/shop_1810pom,master,26
luoxinliang/pomelo_quick_x,https://github.com/luoxinliang/pomelo_quick_x,master,25
xvik/gradle-pom-plugin,https://github.com/xvik/gradle-pom-plugin,master,25
AdamBien/javaee-bce-archetype,https://github.com/AdamBien/javaee-bce-archetype,master,25
NetEase/pomelo-logger,https://github.com/NetEase/pomelo-logger,master,24
yoshiori/pomodoro,https://github.com/yoshiori/pomodoro,master,24
NetEase/pomelo-robot-demo,https://github.com/NetEase/pomelo-robot-demo,master,24
GeforceLee/Websocket-Pomelo,https://github.com/GeforceLee/Websocket-Pomelo,master,24
rwightman/pytorch-pommerman-rl,https://github.com/rwightman/pytorch-pommerman-rl,master,24
frank198/pomelo-upgrade,https://github.com/frank198/pomelo-upgrade,master,24
uttesh/pdfngreport,https://github.com/uttesh/pdfngreport,master,24
andreloureiro/pomocycle,https://github.com/andreloureiro/pomocycle,master,24
mhluska/pomodoro,https://github.com/mhluska/pomodoro,master,24
facebookarchive/facebook-oss-pom,https://github.com/facebookarchive/facebook-oss-pom,master,23
AdamBien/javaee-bce-pom,https://github.com/AdamBien/javaee-bce-pom,master,23
ralfth/pom-merge-driver,https://github.com/ralfth/pom-merge-driver,master,23
ccppluagopy/pomeloTolua4cocos2dxChat,https://github.com/ccppluagopy/pomeloTolua4cocos2dxChat,master,23
edsadr/pomodorize.me,https://github.com/edsadr/pomodorize.me,master,23
yqf19930712/pomelo-wx-client,https://github.com/yqf19930712/pomelo-wx-client,master,23
JuliaPOMDP/POMDPGallery.jl,https://github.com/JuliaPOMDP/POMDPGallery.jl,master,23
webdriverextensions/webdriverextensions-maven-plugin,https://github.com/webdriverextensions/webdriverextensions-maven-plugin,master,23
cf020031308/pomodoro-warriors,https://github.com/cf020031308/pomodoro-warriors,master,23
groundberry/react-pomodoro,https://github.com/groundberry/react-pomodoro,master,23
alextunyk/htmlcompressor-maven-plugin,https://github.com/alextunyk/htmlcompressor-maven-plugin,master,23
flaminggenius/POME,https://github.com/flaminggenius/POME,master,23
gradle-fury/gradle-fury,https://github.com/gradle-fury/gradle-fury,master,23
