path,extension,size_bytes,source,access_mode
data/world_bank/raw_population.csv,.csv,1254581,data_world_bank,raw_data
data/world_bank/stg_population.csv,.csv,355191,data_world_bank,raw_data
data-preparation/.pre-commit-config.yaml,.yaml,631,data_preparation,other
data-preparation/poetry.lock,.lock,188892,data_preparation,config
data-preparation/pyproject.toml,.toml,582,data_preparation,config
data-preparation/README.md,.md,2961,data_preparation,other
data-preparation/scripts/fossil_fuels/01_transform.py,.py,340,data_preparation,data_transformation
data-preparation/scripts/fossil_fuels/02_upload_to_prod.py,.py,538,data_preparation,data_script
data-preparation/scripts/gapminder/01_transform.py,.py,1111,data_preparation,data_transformation
data-preparation/scripts/opec/01_transform.py,.py,527,data_preparation,data_transformation
data-preparation/scripts/pik/01_split_original_dataset.py,.py,1267,data_preparation,data_script
data-preparation/scripts/pik/02_transform.py,.py,1305,data_preparation,data_transformation
data-preparation/scripts/world_bank/01_extract.py,.py,457,data_preparation,data_script
data-preparation/scripts/world_bank/02_transform.py,.py,819,data_preparation,data_transformation
data-preparation/sdp_data_preparation/__init__.py,.py,0,data_preparation,data_script
data-preparation/sdp_data_preparation/countries_and_zones/processors.py,.py,3360,data_preparation,data_script
data-preparation/sdp_data_preparation/countries_and_zones/translators.py,.py,26344,data_preparation,data_script
data-preparation/sdp_data_preparation/countries_and_zones/__init__.py,.py,139,data_preparation,data_script
data-preparation/sdp_data_preparation/fossil_fuels/stg_proven_reserves.py,.py,2262,data_preparation,data_script
data-preparation/sdp_data_preparation/fossil_fuels/__init__.py,.py,56,data_preparation,data_script
data-preparation/sdp_data_preparation/gapminder/final_population.py,.py,1236,data_preparation,data_script
data-preparation/sdp_data_preparation/gapminder/stg_population.py,.py,1489,data_preparation,data_script
data-preparation/sdp_data_preparation/gapminder/__init__.py,.py,102,data_preparation,data_script
data-preparation/sdp_data_preparation/opec/README.md,.md,443,data_preparation,other
data-preparation/sdp_data_preparation/opec/stg_proven_reserves_gas.py,.py,2086,data_preparation,data_script
data-preparation/sdp_data_preparation/opec/stg_proven_reserves_oil.py,.py,2176,data_preparation,data_script
data-preparation/sdp_data_preparation/opec/__init__.py,.py,128,data_preparation,data_script
data-preparation/sdp_data_preparation/pik/common.py,.py,596,data_preparation,data_script
data-preparation/sdp_data_preparation/pik/final_greenhouse_gas_emissions_by_gas.py,.py,1464,data_preparation,data_script
data-preparation/sdp_data_preparation/pik/final_greenhouse_gas_emissions_by_sector.py,.py,1475,data_preparation,data_script
data-preparation/sdp_data_preparation/pik/README.md,.md,641,data_preparation,other
data-preparation/sdp_data_preparation/pik/stg_greenhouse_gas_emissions.py,.py,5262,data_preparation,data_script
data-preparation/sdp_data_preparation/pik/__init__.py,.py,298,data_preparation,data_script
data-preparation/sdp_data_preparation/utils/formatters.py,.py,1616,data_preparation,utility
data-preparation/sdp_data_preparation/utils/iso3166.py,.py,20120,data_preparation,utility
data-preparation/sdp_data_preparation/utils/utils.py,.py,1495,data_preparation,utility
data-preparation/sdp_data_preparation/utils/__init__.py,.py,76,data_preparation,utility
data-preparation/sdp_data_preparation/world_bank/endpoint.py,.py,2080,data_preparation,data_script
data-preparation/sdp_data_preparation/world_bank/final_population.py,.py,1238,data_preparation,data_script
data-preparation/sdp_data_preparation/world_bank/stg_population.py,.py,976,data_preparation,data_script
data-preparation/sdp_data_preparation/world_bank/__init__.py,.py,143,data_preparation,data_script
data-preparation/src/main_electricity.py,.py,6130,data_preparation,data_pipeline
data-preparation/src/main_transformation.py,.py,21884,data_preparation,data_pipeline
data-preparation/src/__init__.py,.py,0,data_preparation,data_script
data-preparation/src/test/__init__.py,.py,0,data_preparation,data_script
data-preparation/src/test/test_utils/test_translation.py,.py,1347,data_preparation,utility
data-preparation/src/test/test_utils/__init__.py,.py,0,data_preparation,utility
data-preparation/src/transformation/co2_consumption_based_accounting.py,.py,8984,data_preparation,data_transformation
data-preparation/src/transformation/eia.py,.py,17943,data_preparation,data_transformation
data-preparation/src/transformation/footprint_vs_territorial.py,.py,9092,data_preparation,data_transformation
data-preparation/src/transformation/fossil_import_export.py,.py,9940,data_preparation,data_transformation
data-preparation/src/transformation/fossil_reserves.py,.py,15686,data_preparation,data_transformation
data-preparation/src/transformation/FOSSIL_RESERVES_bp_fossil_with_zones_prod.py,.py,2680,data_preparation,data_transformation
data-preparation/src/transformation/historical_co2.py,.py,4291,data_preparation,data_transformation
data-preparation/src/transformation/iea.py,.py,16799,data_preparation,data_transformation
data-preparation/src/transformation/__init__.py,.py,0,data_preparation,data_transformation
data-preparation/src/transformation/countries/main.py,.py,419,data_preparation,data_transformation
data-preparation/src/transformation/countries/multi_selection_country_groups.py,.py,2822,data_preparation,data_transformation
data-preparation/src/transformation/countries/new_country_group_member.py,.py,1640,data_preparation,data_transformation
data-preparation/src/transformation/countries/__init__.py,.py,0,data_preparation,data_transformation
data-preparation/src/transformation/countries/data/multiselect_groups.csv,.csv,1412,data_multiselect_groups.csv,intermediate_data
data-preparation/src/transformation/demographic/countries.py,.py,2832,data_preparation,data_transformation
data-preparation/src/transformation/demographic/gdp.py,.py,5810,data_preparation,data_transformation
data-preparation/src/transformation/demographic/population.py,.py,3008,data_preparation,data_transformation
data-preparation/src/transformation/demographic/__init__.py,.py,0,data_preparation,data_transformation
