tom-xxh/work;user_struts_hibernate/pom.xml;11
komantnick/codex-web-site;vendor/google/protobuf/java/pom.xml;2
svn2github/weka;tags/weka-stable-3.6.8/pom.xml;0
zied-ellouze/openmobster;cloud/android/test-suite/test-common-port/pom.xml;121
sonalake/utah-parser;pom.xml;45
nishadvjoshi/talendcloud;TALENDCLOUD/poms/jobs/process/t01_Compo/Misc/tloop_0.1/pom.xml;110
cebas/openmobster;cloud/android/test-suite/test-common-port/pom.xml;120
openbase/bco.psc;pom.xml;196
future-architect/uroborosql;pom.xml;246
hafedmih/openmobster;cloud/android/test-suite/test-native-framework/pom.xml;0
jayaprakash521/gameoflife;pom.xml;239
Rendoc/LOG8371;TP1/weka-3.8-master/packages/internal/timeSeriesFilters/pom.xml;31
vanderschoot/employees;employeesRESTHJB/pom.xml;74
drooone/CurrencyAppOpenShift3;pom.xml;18
pksanthoshkumar/TheWorkingOnes;Ex_Files_RESTful_JAX_RS/Exercise Files/06_02_start/rest-client/pom.xml;24
SAZABI/hotdeals-event-cicd;hotdeals-commons/pom.xml;73
takla21/LOG8371;TP1/weka-3.8/packages/internal/extraTrees/pom.xml;25
nanoandrew4/groupomania-web;pom.xml;51
niranjanreddyy/flowable-engine;modules/flowable-cmmn-json-converter/pom.xml;6082
akshaygupta2208/test;agent-server/agent-core/target/classes/META-INF/maven/com.maplesoft.pwr/agent-core/pom.xml;6
Nitzzz7/game-of-life-org;pom.xml;235
santhoshd402/gol-docker;pom.xml;3
gionata-bisciari/seaglass;seaglass-site-skin/tags/seaglass-site-skin-1.0/pom.xml;1479
xiaocheng903/python;pycharmProjects/dawl/consulapi/ipstatic/META-INF/maven/com.mogo.ipublish/com.mogo.ipublish/pom.xml;12
catailgrass/web_diary;pom.xml;9
joshdurbin/aem-canary;pom.xml;0
Skrikjo/vaadin-poc-eve;pom.xml;5
shobhitj34/NRM-test;com.google.protobuf/protobuf-parent/3.5.1/pom.xml;0
bbarranco/CDPnew;CDPNEW/poms/jobs/process/retrieveconfigurationjob_0.1/pom.xml;214
blxbrgld/list-spring-boot;pom.xml;30
iizrailevsky/various-problems;pom.xml;37
aneeshchakko/webdriver-substeps-example;pom.xml;1
wavemakerapps/Auto_WbSrIsuiMt;pom.xml;0
linuxcer/webmagic;pom.xml;5
romgzy/ninja-park;ninja-park-web/pom.xml;3
adepuajay/game-of-life-new;pom.xml;221
cdmaji/google-guava;guava/pom.xml;2666
jtigp/int-test-coverage;integration-tests/pom.xml;4
diegoneuralo/maven;pom.xml;11
samvibes/openmobster;cloud/dev-tools/sampleApps/crud/app-android/pom.xml;120
ideasfortester/mixed-first;automation-common/pom.xml;9
eBay/parallec-plugins;parallec-clientauth/pom.xml;1
chandu569/gameoflife1;pom.xml;1
Sushma-M/PassportAPP;pom.xml;24
Jacek1993/tutorial;core-java-sun/pom.xml;4292
sjha2048/arthas_packaging_demo;pom.xml;22
wangxf09/guava;guava/pom.xml;2818
beckben/game-of-life;pom.xml;226
chaosssliu/practice;TRSoa-master/TRSoa-master/TRSoa/target/generated-sources/archetype/src/main/resources/archetype-resources/pom.xml;12
peeps1997/pdfextract;pom.xml;9
wisniewskikr/rep_others;OtherSonar/pom.xml;35
ModeShape/modeshape;modeshape-jdbc/pom.xml;2044
PulinxDavy/BecomingOne;pom.xml;10
spkingjoy/game-of-life;pom.xml;3
harish-jetzy/TALEND_GIT;BAH/poms/jobs/process/MAIN/MAIN_200_INGESTION_SQL/mjob225_generate_hive_target_table_select_query_0.1/pom.xml;0
UniversalRobots/ScriptFunctionHTML;com.ur.urcap.examples.scriptfunction/pom.xml;1
Mega343/jQuery;pom.xml;0
chenwei850825/CloudDB_final;vanillabench-master/pom.xml;5
lorenzBern/cost-application;cost-server/pom.xml;14
pavanastechie/spring-backbone-hibernate-app;webmail-app/pom.xml;1
gurukulki/expense-manager;pom.xml;4
qiyei2015/android_5.1_sdk;external/objenesis/tck/pom.xml;7
wl9724/dss;pom.xml;2
IllusionRom-deprecated/android_platform_external_objenesis;tck/pom.xml;5
bnjmn/weka;packages/external/NNge/pom.xml;5
pizining/game;pom.xml;224
Sushma-M/PassportAPP_29May;pom.xml;25
jinjings/credit;credit-card/credit-card-client/pom.xml;0
quieterkali/aem-prologue;core/pom.xml;1
incodehq/asciidoctor-extension-improvethisdoc;pom.xml;31
reedmi/ssm;pom.xml;7
srinivaspm/test_gameoflife;pom.xml;227
wavemakerapps/Auto_dTSRKFQaaI;pom.xml;0
BrentDouglas/chainlink;tck/glassfish/pom.xml;295
PriyaSaurav/DevOps_CertPrj;pom.xml;225
chaosssliu/practice;TRSoa-master/TRSoa-master/TRSoa/target/generated-sources/archetype/target/classes/archetype-resources/pom.xml;12
modis1/crux-projects;mediamanager/mediamanager/pom.xml;0
viniciusbrazpereira/admin;pom.xml;14
erland/socialmusicdiscovery;prototypes/ClientRCP_maven/pom.xml;1061
TeDuJieGe/java-spring;maven/pom.xml;6434
shobhitj34/NRM-test;org.yaml/snakeyaml/1.11/pom.xml;0
mhodinmd/gameoflife;pom.xml;0
kalsbar/git-training;LABS/poms/jobs/process/testftpdelete_0.1/pom.xml;201
huangxw1005/myGame;protobuf-master/java/pom.xml;1
aripia/game_of_life;pom.xml;224
fenfenxu/android-bootstrap-gradle;app/pom.xml;0
mfofana/game-of-life;pom.xml;1
sbaggam/Demos;ESB_GIT/poms/jobs/process/t01_Compo/Processing/tnormalize_0.1/pom.xml;18
fjhg19930505/BET365;pom.xml;2
redtroy/sxj-src;supervisor-parent/supervisor-manager/pom.xml;315
wavemakerapps/Auto_AhdeYQvHMK;pom.xml;0
HanDaeYong/evan_project;pom.xml;3
vickysongang/graylog-project;pom.xml.bak;56
shenfeibit/project-bigData;Twitter/twitter4j-4.0.7/twitter4j-http2-support/pom.xml;1
Galeria-Kaufhof/ets-poms;ets-poms-module-parent/pom.xml;47
mkbrv/aem-demo-project;pom.xml;17
jkremser/RHQ-old;etc/classloaders-test/plugin2/pom.xml;13211
viral98/CallShastra;gentelella-master/production/vendor/google/protobuf/java/pom.xml;13
VishnuPriyaSubramanian/TestConflicts;PROJECTB_REF/poms/jobs/process/t01_Compo/File/Input/tfileinputdelimited_0.1/pom.xml;3
JatinSomarajan/Cert;pom.xml;0
zhaozengbin/SAF;com-saf-mllib-core/pom.xml;1
mavrick202/game-of-life;pom.xml;0
kihoon76/groupware;pom.xml;247
D7039E-E7032E/Mapping-Robot;catkin_ws/protobuf/java/pom.xml;55
rasheedamir/the-fascinator;the-fascinator/trunk/core/pom.xml;0
dianbuliang/flowable-root;modules/flowable-spring-boot/pom.xml;14
lysdyt/openmobster;cloud/android/test-suite/test-common-port/pom.xml;120
Sushma-M/testprj_01june;pom.xml;0
tzaeschke/test-jdo-asciidoc;pom.xml;5
wavemakerapps/Auto_GzxLXPWFpO;pom.xml;0
VishnuPriyaSubramanian/TestConflicts;PROJECTB_REF/poms/jobs/process/t01_Compo/File/Management/tcreatetemporaryfile_0.1/pom.xml;3
heiyun1992/webmagic-parent;pom.xml;1
profK/Red-Dwarf;branches/node-health-phase2/pom.xml;0
luqs/activity;pom.xml;0
Guillaumedewolf/Mafeking-Trophy;php/vendor/google/protobuf/java/pom.xml;5
jiszx/dusto-shop;src/assets/crm/pom.xml;2
Dhawalp/PostmeIn;pom.xml;6
hectorguedea/ontology-population;OntologyPopulation/src/twitter4j-4.0.7/twitter4j-http2-support/pom.xml;7
TheSengers/Weka;packages/external/NNge/pom.xml;14
didierniel/metalib;metalib-web/pom.xml;26
aticdnet/json-memory-nosql;pom.xml;0
gusreiber/mobile-deposit-api;pom.xml;100
