competition,stratum,ref,url,votes,author_best_percentile,local_kernel_dir,local_main_file
santa-2025,top_1%,hvanphucs112/bbox3-ensemble-update,https://www.kaggle.com/code/hvanphucs112/bbox3-ensemble-update,35,0.0283962568570506,corpus\santa-2025\notebooks\top_1%\hvanphucs112__bbox3-ensemble-update,corpus\santa-2025\notebooks\top_1%\hvanphucs112__bbox3-ensemble-update\bbox3-ensemble-update.ipynb
santa-2025,top_10%,hossam82/eazy-optimizer,https://www.kaggle.com/code/hossam82/eazy-optimizer,71,0.0532429816069699,corpus\santa-2025\notebooks\top_10%\hossam82__eazy-optimizer,corpus\santa-2025\notebooks\top_10%\hossam82__eazy-optimizer\eazy-optimizer.ipynb
santa-2025,top_10%,snnclsr/santa-tree-challenge,https://www.kaggle.com/code/snnclsr/santa-tree-challenge,56,0.063568893191352,corpus\santa-2025\notebooks\top_10%\snnclsr__santa-tree-challenge,corpus\santa-2025\notebooks\top_10%\snnclsr__santa-tree-challenge\santa-tree-challenge.ipynb
santa-2025,top_10%,hossam82/santa-submission-bbox3,https://www.kaggle.com/code/hossam82/santa-submission-bbox3,48,0.0532429816069699,corpus\santa-2025\notebooks\top_10%\hossam82__santa-submission-bbox3,corpus\santa-2025\notebooks\top_10%\hossam82__santa-submission-bbox3\santa-submission-bbox3.ipynb
santa-2025,top_10%,nikitakuznetsof/just-luck,https://www.kaggle.com/code/nikitakuznetsof/just-luck,17,0.0574378831881252,corpus\santa-2025\notebooks\top_10%\nikitakuznetsof__just-luck,corpus\santa-2025\notebooks\top_10%\nikitakuznetsof__just-luck\just-luck.ipynb
santa-2025,top_10%,hossam82/santa-tree-high-score,https://www.kaggle.com/code/hossam82/santa-tree-high-score,9,0.0532429816069699,corpus\santa-2025\notebooks\top_10%\hossam82__santa-tree-high-score,corpus\santa-2025\notebooks\top_10%\hossam82__santa-tree-high-score\santa-tree-high-score.ipynb
santa-2025,p40_50,kirkdco/kmer-aspect-ratio-survey,https://www.kaggle.com/code/kirkdco/kmer-aspect-ratio-survey,16,0.494353017102291,corpus\santa-2025\notebooks\p40_50\kirkdco__kmer-aspect-ratio-survey,corpus\santa-2025\notebooks\p40_50\kirkdco__kmer-aspect-ratio-survey\kmer-aspect-ratio-survey.ipynb
spaceship-titanic,p40_50,slice3984/spaceship-titanic,https://www.kaggle.com/code/slice3984/spaceship-titanic,0,0.4794938917975567,corpus\spaceship-titanic\notebooks\p40_50\slice3984__spaceship-titanic,corpus\spaceship-titanic\notebooks\p40_50\slice3984__spaceship-titanic\spaceship-titanic.ipynb
titanic,top_1%,djenkivanov/top-5-simple-neural-network-solution,https://www.kaggle.com/code/djenkivanov/top-5-simple-neural-network-solution,11,0.0496262618478847,corpus\titanic\notebooks\top_1%\djenkivanov__top-5-simple-neural-network-solution,corpus\titanic\notebooks\top_1%\djenkivanov__top-5-simple-neural-network-solution\top-5-simple-neural-network-solution.ipynb
titanic,top_1%,n3onnhowever/titanic-cv-v2,https://www.kaggle.com/code/n3onnhowever/titanic-cv-v2,9,7.70594128072744e-05,corpus\titanic\notebooks\top_1%\n3onnhowever__titanic-cv-v2,corpus\titanic\notebooks\top_1%\n3onnhowever__titanic-cv-v2\titanic-cv-v2.ipynb
titanic,top_1%,n3onnhowever/titanic-cv-v3,https://www.kaggle.com/code/n3onnhowever/titanic-cv-v3,5,7.70594128072744e-05,corpus\titanic\notebooks\top_1%\n3onnhowever__titanic-cv-v3,corpus\titanic\notebooks\top_1%\n3onnhowever__titanic-cv-v3\titanic-cv-v3.ipynb
titanic,top_10%,vismayakatkar/vismaya-k,https://www.kaggle.com/code/vismayakatkar/vismaya-k,4,0.0621098867226631,corpus\titanic\notebooks\top_10%\vismayakatkar__vismaya-k,corpus\titanic\notebooks\top_10%\vismayakatkar__vismaya-k\vismaya-k.ipynb
