Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Memory (MB),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B)
4bit-gptq-exllama-v1-eager,microsoft/Phi-3-mini-4k-instruct,0.067,0.0307363834381103,32.813,793669.169,2674.711,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Phi3ForCausalLM,1.987,27.2,3
4bit-awq-gemm-fa2,Qwen/Qwen1.5-32B,2.623,2.46929931640625,0.405,5366.472,21890.218,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,Qwen2ForCausalLM,158.201,26.69,32
4bit-awq-gemm-eager,Qwen/Qwen1.5-32B,2.62,2.46706884765625,0.405,5357.35,21890.213,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Qwen2ForCausalLM,158.049,26.69,32
4bit-awq-gemm-sdpa,Qwen/Qwen1.5-32B,2.613,2.460632080078125,0.406,5365.118,21890.218,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,Qwen2ForCausalLM,157.641,26.69,32
4bit-gptq-exllama-v1-fa2,Qwen/Qwen1.5-32B,1.487,1.3263912353515626,0.754,9492.1,21326.311,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Qwen2ForCausalLM,85.057,26.69,32
4bit-gptq-exllama-v2-fa2,Qwen/Qwen1.5-32B,1.486,1.3255198974609377,0.754,9503.637,21326.311,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Qwen2ForCausalLM,84.997,26.69,32
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-32B,1.477,1.3011885986328124,0.768,10061.174,21326.312,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,83.455,26.69,32
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-32B,1.476,1.3009254150390626,0.769,10013.194,21326.312,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,83.439,26.69,32
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-32B,1.467,1.300379638671875,0.769,9767.909,21326.311,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,83.396,26.69,32
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-32B,1.467,1.3002578125,0.769,9771.182,21326.311,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,83.388,26.69,32
4bit-bnb-fa2,Qwen/Qwen1.5-32B,1.411,0.1449001007080078,6.878,115470.287,21184.84,pytorch,float16,BnB.4bit,FAv2,No Kernel,Qwen2ForCausalLM,10.572,26.69,32
4bit-bnb-eager,Qwen/Qwen1.5-32B,1.398,0.1417267150878906,7.113,119504.251,21184.971,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,10.271,26.69,32
4bit-bnb-sdpa,Qwen/Qwen1.5-32B,1.389,0.1306869812011718,7.582,123428.771,21184.84,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,9.698,26.69,32
4bit-bnb-fa2,Qwen/Qwen1.5-32B,1.4,0.1306741790771484,7.634,129134.09,22614.799,pytorch,float16,BnB.4bit,FAv2,No Kernel,Qwen2ForCausalLM,9.651,26.69,32
4bit-bnb-eager,Qwen/Qwen1.5-32B,1.384,0.1127490577697754,8.806,140401.17,22614.93,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,8.538,26.69,32
4bit-bnb-sdpa,Qwen/Qwen1.5-32B,1.375,0.1069951972961425,9.308,143016.766,22614.799,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,8.129,26.69,32
4bit-awq-exllama-v1-fa2,Qwen/Qwen1.5-32B,5.681,0.0816220169067382,12.214,199262.726,20639.101,pytorch,float16,AWQ.4bit,FAv2,No Kernel,Qwen2ForCausalLM,10.837,26.69,32
4bit-awq-gemv-fa2,Qwen/Qwen1.5-32B,0.511,0.0810362892150878,12.303,200632.576,20640.74,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMV,Qwen2ForCausalLM,5.635,26.69,32
4bit-gptq-exllama-v2-fa2,Qwen/Qwen1.5-32B,0.482,0.0808376007080078,12.35,203988.333,20907.455,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Qwen2ForCausalLM,5.58,26.69,32
4bit-gptq-exllama-v1-fa2,Qwen/Qwen1.5-32B,0.481,0.080500732421875,12.387,210087.489,20907.455,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Qwen2ForCausalLM,5.567,26.69,32
4bit-awq-exllama-v2-fa2,Qwen/Qwen1.5-32B,0.492,0.0770406417846679,12.947,243950.153,20926.608,pytorch,float16,AWQ.4bit,FAv2,No Kernel,Qwen2ForCausalLM,5.357,26.69,32
4bit-awq-gemv-eager,Qwen/Qwen1.5-32B,0.501,0.064934398651123,15.309,231123.521,20640.74,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,Qwen2ForCausalLM,4.604,26.69,32
4bit-awq-exllama-v2-eager,Qwen/Qwen1.5-32B,0.481,0.0622090225219726,15.762,277319.955,20927.469,pytorch,float16,AWQ.4bit,Eager,No Kernel,Qwen2ForCausalLM,4.486,26.69,32
4bit-awq-exllama-v1-eager,Qwen/Qwen1.5-32B,5.668,0.0625167369842529,15.981,230588.353,20639.962,pytorch,float16,AWQ.4bit,Eager,No Kernel,Qwen2ForCausalLM,9.613,26.69,32
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-32B,0.471,0.0601876487731933,16.544,244842.682,20907.455,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,4.274,26.69,32
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-32B,0.471,0.0602163200378417,16.56,243855.392,20907.455,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,4.275,26.69,32
4bit-awq-gemv-sdpa,Qwen/Qwen1.5-32B,0.492,0.0580695037841796,17.112,243869.503,20640.74,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMV,Qwen2ForCausalLM,4.176,26.69,32
4bit-awq-exllama-v2-sdpa,Qwen/Qwen1.5-32B,0.472,0.0565319690704345,17.568,295843.177,20926.608,pytorch,float16,AWQ.4bit,SDPA,No Kernel,Qwen2ForCausalLM,4.059,26.69,32
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-32B,0.463,0.0543134727478027,18.2,257635.86,20907.455,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,3.922,26.69,32
4bit-awq-exllama-v1-sdpa,Qwen/Qwen1.5-32B,5.663,0.0544138240814209,18.259,265543.99,20639.101,pytorch,float16,AWQ.4bit,SDPA,No Kernel,Qwen2ForCausalLM,9.094,26.69,32
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-32B,0.462,0.054146047592163,18.358,258204.567,20907.455,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,3.889,26.69,32
8bit-bnb-eager,microsoft/Phi-3-mini-4k-instruct,0.087,0.0854108161926269,11.702,294097.016,4344.502,pytorch,float16,BnB.8bit,Eager,No Kernel,Phi3ForCausalLM,5.471,25.97,3
8bit-bnb-fa2,microsoft/Phi-3-mini-4k-instruct,0.084,0.0842588157653808,11.952,304937.349,4343.977,pytorch,float16,BnB.8bit,FAv2,No Kernel,Phi3ForCausalLM,5.362,25.97,3
4bit-bnb-fa2,microsoft/Phi-3-mini-4k-instruct,0.19,0.0499538078308105,20.034,460631.897,2984.741,pytorch,float16,BnB.4bit,FAv2,No Kernel,Phi3ForCausalLM,3.332,25.97,3
4bit-bnb-eager,microsoft/Phi-3-mini-4k-instruct,0.179,0.0495441932678222,20.358,458687.722,2984.872,pytorch,float16,BnB.4bit,Eager,No Kernel,Phi3ForCausalLM,3.274,25.97,3
float16-fa2,microsoft/Phi-3-mini-4k-instruct,0.057,0.039037950515747,25.728,482526.655,7924.799,pytorch,float16,Unquantized,FAv2,No Kernel,Phi3ForCausalLM,2.511,25.97,3
bfloat16-fa2,microsoft/Phi-3-mini-4k-instruct,0.057,0.0388096008300781,25.777,495012.449,7924.799,pytorch,bfloat16,Unquantized,FAv2,No Kernel,Phi3ForCausalLM,2.501,25.97,3
4bit-awq-gemm-fa2,microsoft/Phi-3-mini-4k-instruct,0.074,0.0387415046691894,25.822,617546.882,2588.969,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,Phi3ForCausalLM,2.514,25.97,3
4bit-awq-gemm-eager,microsoft/Phi-3-mini-4k-instruct,0.067,0.0382494735717773,26.175,635611.672,2589.625,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Phi3ForCausalLM,2.47,25.97,3
float32-eager,microsoft/Phi-3-mini-4k-instruct,0.127,0.0351124477386474,28.46,406314.612,15763.828,pytorch,float32,Unquantized,Eager,No Kernel,Phi3ForCausalLM,2.341,25.97,3
float16-eager,microsoft/Phi-3-mini-4k-instruct,0.049,0.0346040306091308,29.099,526241.172,7924.275,pytorch,float16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,2.231,25.97,3
4bit-awq-gemv-eager,microsoft/Phi-3-mini-4k-instruct,0.07,0.0336675834655761,29.751,711769.966,2589.625,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,Phi3ForCausalLM,2.189,25.97,3
bfloat16-eager,microsoft/Phi-3-mini-4k-instruct,0.05,0.0338165740966796,29.84,529081.275,7924.275,pytorch,bfloat16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,2.156,25.97,3
4bit-awq-gemv-fa2,microsoft/Phi-3-mini-4k-instruct,0.077,0.0330388488769531,30.567,724637.588,2588.969,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMV,Phi3ForCausalLM,2.142,25.97,3
4bit-gptq-exllama-v2-eager,microsoft/Phi-3-mini-4k-instruct,0.067,0.0312816638946533,31.81,754859.756,2674.711,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Phi3ForCausalLM,2.044,25.97,3
4bit-gptq-exllama-v1-fa2,microsoft/Phi-3-mini-4k-instruct,0.073,0.0315919361114502,31.925,775172.276,2674.711,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Phi3ForCausalLM,2.043,25.97,3
4bit-awq-exllama-v1-eager,microsoft/Phi-3-mini-4k-instruct,0.687,0.0309729270935058,32.156,717884.039,2569.852,pytorch,float16,AWQ.4bit,Eager,No Kernel,Phi3ForCausalLM,2.646,25.97,3
4bit-gptq-exllama-v2-fa2,microsoft/Phi-3-mini-4k-instruct,0.073,0.0305817594528198,32.422,765619.212,2674.711,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Phi3ForCausalLM,2.017,25.97,3
4bit-awq-exllama-v1-fa2,microsoft/Phi-3-mini-4k-instruct,0.695,0.030370304107666,32.565,737126.917,2569.852,pytorch,float16,AWQ.4bit,FAv2,No Kernel,Phi3ForCausalLM,2.629,25.97,3
4bit-gptq-exllama-v1-eager,microsoft/Phi-3-mini-4k-instruct,0.067,0.0307363834381103,32.813,793669.169,2674.711,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Phi3ForCausalLM,1.987,25.97,3
8bit-bnb-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.121,0.1185146865844726,8.404,198412.616,9177.326,pytorch,float16,BnB.8bit,Eager,No Kernel,LlamaForCausalLM,7.61,23.91,8
8bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.115,0.1142430725097656,8.669,205086.551,9177.194,pytorch,float16,BnB.8bit,SDPA,No Kernel,LlamaForCausalLM,7.355,23.91,8
8bit-bnb-fa2,meta-llama/Meta-Llama-3-8B-Instruct,0.115,0.1140587501525879,8.729,204174.332,9177.194,pytorch,float16,BnB.8bit,FAv2,No Kernel,LlamaForCausalLM,7.332,23.91,8
4bit-bnb-fa2,meta-llama/Meta-Llama-3-8B-Instruct,0.34,0.0555914249420166,17.833,352941.212,6470.0,pytorch,float16,BnB.4bit,FAv2,No Kernel,LlamaForCausalLM,3.858,23.91,8
4bit-bnb-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.339,0.0554091529846191,17.913,352521.587,6470.131,pytorch,float16,BnB.4bit,Eager,No Kernel,LlamaForCausalLM,3.862,23.91,8
4bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.335,0.0542039031982421,18.182,357674.278,6470.0,pytorch,float16,BnB.4bit,SDPA,No Kernel,LlamaForCausalLM,3.804,23.91,8
bfloat16-fa2,meta-llama/Meta-Llama-3-8B-Instruct,0.084,0.043531265258789,22.927,357929.739,16133.168,pytorch,bfloat16,Unquantized,FAv2,No Kernel,LlamaForCausalLM,2.831,23.91,8
float16-fa2,meta-llama/Meta-Llama-3-8B-Instruct,0.084,0.0434775047302246,22.956,351334.083,16133.168,pytorch,float16,Unquantized,FAv2,No Kernel,LlamaForCausalLM,2.828,23.91,8
4bit-awq-gemm-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.108,0.039785472869873,24.869,512171.777,5852.012,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,LlamaForCausalLM,2.636,23.91,8
4bit-awq-gemm-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.105,0.0392878074645996,25.672,534621.486,5851.88,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,LlamaForCausalLM,2.555,23.91,8
bfloat16-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.086,0.0386477928161621,25.862,377706.153,16136.445,pytorch,bfloat16,Unquantized,Eager,No Kernel,LlamaForCausalLM,2.522,23.91,8
4bit-awq-gemm-fa2,meta-llama/Meta-Llama-3-8B-Instruct,0.107,0.0380851192474365,25.917,544784.952,5851.88,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,LlamaForCausalLM,2.524,23.91,8
float16-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.085,0.0385413131713867,25.94,373350.086,16133.299,pytorch,float16,Unquantized,Eager,No Kernel,LlamaForCausalLM,2.514,23.91,8
float16-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.081,0.0381767692565917,26.176,373005.434,16133.168,pytorch,float16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,2.488,23.91,8
bfloat16-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.081,0.0381921272277832,26.176,379724.115,16133.168,pytorch,bfloat16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,2.488,23.91,8
4bit-awq-gemv-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.111,0.0316625919342041,31.27,605252.724,5852.012,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,LlamaForCausalLM,2.12,23.91,8
4bit-awq-exllama-v1-eager,meta-llama/Meta-Llama-3-8B-Instruct,1.325,0.0316226558685302,31.999,595717.942,5800.631,pytorch,float16,AWQ.4bit,Eager,No Kernel,LlamaForCausalLM,3.296,23.91,8
4bit-gptq-exllama-v2-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.116,0.030496768951416,32.486,645817.185,5923.053,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,LlamaForCausalLM,2.046,23.91,8
4bit-awq-exllama-v2-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.119,0.0304624643325805,32.715,681484.492,5922.266,pytorch,float16,AWQ.4bit,Eager,No Kernel,LlamaForCausalLM,2.043,23.91,8
4bit-awq-gemv-fa2,meta-llama/Meta-Llama-3-8B-Instruct,0.11,0.030366208076477,32.905,636781.121,5851.88,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMV,LlamaForCausalLM,2.024,23.91,8
4bit-gptq-exllama-v1-eager,meta-llama/Meta-Llama-3-8B-Instruct,0.116,0.029289472579956,33.866,668270.096,5923.053,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,LlamaForCausalLM,1.976,23.91,8
4bit-awq-gemv-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.108,0.0293990392684936,33.951,649803.263,5851.88,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMV,LlamaForCausalLM,1.968,23.91,8
4bit-awq-exllama-v2-fa2,meta-llama/Meta-Llama-3-8B-Instruct,0.118,0.0296642560958862,34.144,742619.862,5922.135,pytorch,float16,AWQ.4bit,FAv2,No Kernel,LlamaForCausalLM,1.973,23.91,8
4bit-awq-exllama-v1-fa2,meta-llama/Meta-Llama-3-8B-Instruct,1.324,0.028290560722351,35.037,651156.892,5800.5,pytorch,float16,AWQ.4bit,FAv2,No Kernel,LlamaForCausalLM,3.12,23.91,8
4bit-gptq-exllama-v1-fa2,meta-llama/Meta-Llama-3-8B-Instruct,0.115,0.0281190395355224,35.3,691430.456,5922.922,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,LlamaForCausalLM,1.895,23.91,8
4bit-gptq-exllama-v2-fa2,meta-llama/Meta-Llama-3-8B-Instruct,0.115,0.0281006088256835,35.417,703545.269,5922.922,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,LlamaForCausalLM,1.893,23.91,8
4bit-gptq-exllama-v2-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.113,0.0270018558502197,36.523,711372.749,5922.922,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,LlamaForCausalLM,1.826,23.91,8
4bit-gptq-exllama-v1-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.113,0.0271831035614013,36.56,706944.644,5922.922,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,LlamaForCausalLM,1.834,23.91,8
4bit-awq-exllama-v2-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,0.116,0.0271221752166748,36.603,742173.948,5922.135,pytorch,float16,AWQ.4bit,SDPA,No Kernel,LlamaForCausalLM,1.836,23.91,8
4bit-awq-exllama-v1-sdpa,meta-llama/Meta-Llama-3-8B-Instruct,1.322,0.0266378240585327,37.078,659864.292,5800.5,pytorch,float16,AWQ.4bit,SDPA,No Kernel,LlamaForCausalLM,3.026,23.91,8
4bit-awq-gemm-eager,01-ai/Yi-34B,2.805,2.64620947265625,0.378,5115.087,20902.144,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,LlamaForCausalLM,169.522,22.26,34
4bit-awq-gemm-sdpa,01-ai/Yi-34B,2.792,2.637888427734375,0.379,5075.381,20902.143,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,LlamaForCausalLM,168.991,22.26,34
4bit-awq-gemm-fa2,01-ai/Yi-34B,2.791,2.63752294921875,0.379,5072.79,20902.143,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,LlamaForCausalLM,168.969,22.26,34
4bit-gptq-exllama-v1-eager,01-ai/Yi-34B,1.579,1.39966162109375,0.714,9017.011,20339.707,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,LlamaForCausalLM,89.76,22.26,34
4bit-gptq-exllama-v2-eager,01-ai/Yi-34B,1.578,1.3995601806640623,0.714,9277.914,20339.707,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,LlamaForCausalLM,89.754,22.26,34
4bit-gptq-exllama-v1-sdpa,01-ai/Yi-34B,1.566,1.398877197265625,0.715,9244.372,20339.706,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,LlamaForCausalLM,89.702,22.26,34
4bit-gptq-exllama-v2-sdpa,01-ai/Yi-34B,1.566,1.3989376220703125,0.715,9276.978,20339.706,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,LlamaForCausalLM,89.704,22.26,34
4bit-gptq-exllama-v1-fa2,01-ai/Yi-34B,1.564,1.39627001953125,0.716,9325.744,20339.706,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,LlamaForCausalLM,89.535,22.26,34
4bit-gptq-exllama-v2-fa2,01-ai/Yi-34B,1.564,1.396368408203125,0.716,9320.386,20339.706,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,LlamaForCausalLM,89.541,22.26,34
4bit-bnb-eager,01-ai/Yi-34B,1.529,0.1288151092529297,7.727,121037.777,20257.332,pytorch,float16,BnB.4bit,Eager,No Kernel,LlamaForCausalLM,9.665,22.26,34
4bit-bnb-sdpa,01-ai/Yi-34B,1.509,0.1287004089355468,7.835,128547.398,20257.201,pytorch,float16,BnB.4bit,SDPA,No Kernel,LlamaForCausalLM,9.55,22.26,34
4bit-bnb-fa2,01-ai/Yi-34B,1.507,0.1237022705078125,8.024,131518.785,20257.201,pytorch,float16,BnB.4bit,FAv2,No Kernel,LlamaForCausalLM,9.334,22.26,34
4bit-bnb-fa2,01-ai/Yi-34B,1.507,0.1083187217712402,9.216,143253.363,21671.871,pytorch,float16,BnB.4bit,FAv2,No Kernel,LlamaForCausalLM,8.34,22.26,34
4bit-bnb-eager,01-ai/Yi-34B,1.516,0.0960988159179687,10.342,151891.036,21672.789,pytorch,float16,BnB.4bit,Eager,No Kernel,LlamaForCausalLM,7.596,22.26,34
4bit-bnb-sdpa,01-ai/Yi-34B,1.498,0.0931599349975585,10.715,154280.14,21672.658,pytorch,float16,BnB.4bit,SDPA,No Kernel,LlamaForCausalLM,7.377,22.26,34
4bit-awq-gemm-eager,01-ai/Yi-34B,0.485,0.0744325141906738,13.527,220052.95,19446.644,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,LlamaForCausalLM,5.156,22.26,34
4bit-awq-gemm-fa2,01-ai/Yi-34B,0.476,0.0704511985778808,14.158,235443.099,19446.513,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,LlamaForCausalLM,4.928,22.26,34
4bit-awq-gemm-sdpa,01-ai/Yi-34B,0.472,0.0663249931335449,15.235,239898.447,19447.037,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,LlamaForCausalLM,4.615,22.26,34
4bit-awq-exllama-v1-fa2,01-ai/Yi-34B,6.324,0.0601210861206054,16.574,252151.044,19428.818,pytorch,float16,AWQ.4bit,FAv2,No Kernel,LlamaForCausalLM,10.121,22.26,34
4bit-awq-gemv-fa2,01-ai/Yi-34B,0.523,0.0601753616333007,16.574,250623.606,19446.513,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMV,LlamaForCausalLM,4.312,22.26,34
4bit-awq-exllama-v1-fa2,01-ai/Yi-34B,6.323,0.0599531517028808,16.639,238778.109,19428.818,pytorch,float16,AWQ.4bit,FAv2,No Kernel,LlamaForCausalLM,10.106,22.26,34
4bit-gptq-exllama-v2-fa2,01-ai/Yi-34B,0.509,0.0597550086975097,16.712,247763.935,19737.657,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,LlamaForCausalLM,4.279,22.26,34
4bit-awq-gemv-fa2,01-ai/Yi-34B,0.523,0.0596490230560302,16.738,245106.17,19446.513,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMV,LlamaForCausalLM,4.291,22.26,34
