TITLE;ISSUE_ID;LOGS;COMMITS;ASSIGNES;COMMENTS;OPEN
Usage notes in API reference are hard to discover;40753;0;4;1;2;1
Unclear alert about reactive forms and validation attributes;37165;1;0;0;2;1
Dynamically changing reactive forms throws a registerOnChange error;26998;0;5;0;3;0
ng-if on root elements of projected content fails to render on initialisation;16685;0;0;0;2;1
Parent animation cannot query :enter or :leave when a child animation exists;23977;0;0;0;1;0
:leave animation of child component doesn't work when the parent has its own animations;40799;0;0;0;1;0
Async pipe fails when using an observable from a ControlValueAccessor initial value;40826;0;0;0;2;0
@angular/core/testing imports @angular/compiler without it being a listed dependency;38096;1;0;0;2;1
FormArray & ControlValueAccessor does not pass through validation when sub component appears.;32454;0;0;0;4;0
Production Unit Tests Intermittently Fail In afterAll with Uncaught [object Object];33800;1;0;0;16;0
After upgrading to Angular 9  ngFor and ngIf are unknown;35273;1;0;0;3;0
Angular 10 canLoad guard seems to not working properly;39808;0;0;0;5;0
"Mistake in Templates docs in ""Text Interpolation"" section";40402;1;0;0;1;0
FormControls don't fully unbind from dom when swapped out;23473;0;0;0;3;0
FormControlDirective never unsubscribes.;22294;0;0;0;9;0
Update i18n doc with loadTranslations and $localize;37563;1;0;1;7;1
Forms: State that setErrors() will make status === INVALID regardless of value passed for key;21564;0;0;0;29;1
Misleading errormessage when using HostBinding with @animation trigger but no defined animations ;15581;0;0;0;9;1
Null pointer exception in transition_animation_engine.ts;36378;0;0;1;3;0
Cannot reattach ActivatedRouteSnapshot created from a different route;40515;1;0;0;3;0
Support extend angularCompilerOptions in tsconfig from absolute tsconfig;36715;0;7;0;2;0
Can't bind to 'capture' since it isn't a known property of 'input'.;35867;0;0;0;4;0
EOF error when using svg:title tag in component template;31503;1;5;1;6;0
Can't use a <form> tag with a [formControl] directive;38391;1;4;1;3;0
Navigation triggered outside Angular zone warning in unit tests;25837;0;2;1;34;0
Library is skipped by Ivy / ngcc compiler;40357;1;2;0;14;0
multiple NG9 angular elements consuming a service as a singleton using providedIn:platform;40301;0;0;0;11;0
Angular 11.0.6 and 11.0.7: Componentless routes broken in IE11 when navigating;40372;1;0;0;6;0
User `ngTemplateOutletContext` been modified unexpectedly;40385;0;0;0;3;0
Boolean properties as HTML binary attributes;14761;0;0;0;37;1
NgStyle and style can not set `!important`;12009;0;2;0;32;0
Feature: @Directive should support styles and styleUrls properties;17766;0;0;0;35;1
Style guide: Leading underscore conflict with TypeScript docs;26393;0;0;1;20;0
@angular/service-worker wrong peerDependency in 7.1.0;27233;1;0;0;2;0
Feat: Add support for TypeScript 3;25200;0;3;0;13;0
Optional Parameters for  angular2 routes;12347;0;1;0;11;1
date pipe formatter doesn't format minutes and seconds properly in IE 11.0.9600.18350 and Edge;9524;0;8;0;27;0
ActivatedRoute doesn't carry data;11812;0;0;0;33;0
HttpParameterCodec improperly encodes special characters like '+' or '=';11058;0;2;0;69;1
ICU standard Stand Alone day of week with DatePipe is not supported;26922;0;3;1;6;0
HttpClient doesn't throw on observable if Chrome cancels a request;22324;0;2;0;23;0
@angular/compiler parseTemplate() missing leading paren in parsed source;40721;0;5;1;0;0
Duplicate template reference variables are not treated as error with Ivy;40536;0;7;1;0;0
angular v11 - bug in 2 functions in angular/packages/common/src/i18n/format_date.ts;40377;0;16;1;4;0
In Ivy: ViewContainerRef.move causes ASSERTION ERROR;37120;0;11;0;2;0
Memory Leak on Mouse Move and on Route Change;40722;1;0;0;3;0
FormGroupDirective reset and submit hosts conflicts;40764;0;0;0;2;0
VS Code auto-import doesn't identify secondary entry points;40407;0;0;0;11;1
[Angular Elements] Supporting Shadow Dom and Theming IE11+;26693;0;0;0;34;1
