TITLE,ISSUE_ID,LOGS,COMMITS,ASSIGNES,COMMENTS
getInertBodyElement returns null  crashing in _sanitizeHtml,39834,1,4,0,19
Some error messages hard-code v9.angular.io after v11,39837,0,3,0,3
datePipe unexpected return value on 2021-01-01 and 2021-01-02,40320,0,0,0,3
JIT compiler throws an error on Samsung Internet Browser,40733,0,0,0,2
Meta class addTag() with httpEquiv MetaDefinition adds incorrect attribute,31525,0,3,0,3
Strings in bindings are not allowed to contain interpolation syntax,39601,0,12,1,5
Problems with Mobile Safari,39648,1,0,0,2
Strange behaviour with ngModel and looping over the array,40271,0,0,0,5
CanActivate not called on redirectTo router rule; but no error either,18605,0,4,0,19
extract-i18n generates wrong interpolation equiv-text in v11,39654,0,0,0,46
Routing works wrong with included routes,40625,0,0,0,2
Localized bundle generation failed. Unexpected messageParts for `$localize` (expected an array of strings). Angular 11,40709,1,0,0,1
fix(Component with async service): TypeError: jasmine.createSpyObj is not a function,40705,1,0,0,2
docs: code section font doesn't look good,40666,0,6,0,2
After the application is destroyed the Router service still works,40502,1,7,1,0
Issues developing libraries with VSCode,40700,1,0,0,3
input[type=range] with both [min] and [max]: Thumb position is reset when input is hidden and shown again,31062,0,0,0,4
`QueryList` emits changes even when its items are not changed,35807,0,0,0,16
Regression regarding angular 11.1 with async pipe in template not infering the right type,40637,1,6,0,8
Copyright comment blocks in main.js,40691,0,0,0,0
Need to run ngcc twice to output Ivy compatible files for modules with dependencies on other modules needing Ivy outputs,40656,0,0,0,4
Routing works wrong with children and lazy loading (v11.x),40641,1,0,0,3
DatePipe renders German 'short day' (EE) incorrectly,40654,0,0,0,1
Updating to Angular 10: RangeError: Maximum call stack size exceeded,40495,1,0,0,7
FormGroup.value is not updated with FormControl.valueChanges,40649,0,0,0,4
Conditional routing is not working in prod build  while it works in the development mode. (ng serve),40643,0,0,0,5
Angular 9 Upgrade updates to tsconfig.app.json are undocumented.,37168,0,0,1,8
App never gets stable,40630,1,0,0,1
Duplicated content projection in downgraded components during HMR,40201,0,0,0,2
service-worker not initializing when 'enabled' is a variable ,40252,0,0,0,8
i18n-extract generates incompatible XLIFF,40235,0,0,0,4
ngcc error: Attempted to get members of a non-class but is class,40178,0,0,0,2
Get an error after updateting zone.js from 0.11.1 to 0.11.2,40518,1,0,1,1
Sanitizer is injected as null when Ivy is enabled,40627,0,0,0,2
DatePipe treats ISO-8601 YYYY-MM format as a date-time and adds timezone,33944,0,6,0,7
Class binding is not working with custom key names,35851,0,0,0,3
Proposal - use initial empty value for async pipe as undefined rather than null,16982,0,3,0,33
FormGroup.getRawValue() or patchValue() translates value undefined of a field to value null,40608,0,0,0,5
Attaching a jQuery event handler triggers change detection for that event for every element,40606,0,0,0,4
"Allow string to be passed as parameter in ""params"" in HttpClient methods",20316,0,6,0,3
Raw params string is not accepted by HttpClient and HttpRequest,18403,0,0,0,2
"Export a list of ""human readable"" HTTP status codes",23543,0,4,0,9
EMPTY_ARRAY used for identity checks  but multiple are declared in core,28229,0,0,0,2
Template parser produces wrong locations for HTML self-closing tags,39148,1,6,1,0
Missing Angular Transclusion in the docs,40260,0,0,0,2
Do not trigger change detection in $http responses when useApplyAsync is enabled,17975,0,0,0,8
Library distribution with compilationMode: partial error,40514,1,0,0,3
Can't use large RegExp as pattern validator,40589,1,0,0,8
