path,extension,size_bytes
data-preparation/sdp_data_preparation/pik/__init__.py,.py,298
data-preparation/sdp_data_preparation/utils/formatters.py,.py,1616
data-preparation/sdp_data_preparation/utils/iso3166.py,.py,20120
data-preparation/sdp_data_preparation/utils/utils.py,.py,1495
data-preparation/sdp_data_preparation/utils/__init__.py,.py,76
data-preparation/sdp_data_preparation/world_bank/endpoint.py,.py,2080
data-preparation/sdp_data_preparation/world_bank/final_population.py,.py,1238
data-preparation/sdp_data_preparation/world_bank/stg_population.py,.py,976
data-preparation/sdp_data_preparation/world_bank/__init__.py,.py,143
data-preparation/src/main_electricity.py,.py,6130
data-preparation/src/main_transformation.py,.py,21884
data-preparation/src/__init__.py,.py,0
data-preparation/src/test/__init__.py,.py,0
data-preparation/src/test/test_utils/test_translation.py,.py,1347
data-preparation/src/test/test_utils/__init__.py,.py,0
data-preparation/src/transformation/co2_consumption_based_accounting.py,.py,8984
data-preparation/src/transformation/eia.py,.py,17943
data-preparation/src/transformation/footprint_vs_territorial.py,.py,9092
data-preparation/src/transformation/fossil_import_export.py,.py,9940
data-preparation/src/transformation/fossil_reserves.py,.py,15686
data-preparation/src/transformation/FOSSIL_RESERVES_bp_fossil_with_zones_prod.py,.py,2680
data-preparation/src/transformation/historical_co2.py,.py,4291
data-preparation/src/transformation/iea.py,.py,16799
data-preparation/src/transformation/__init__.py,.py,0
data-preparation/src/transformation/countries/main.py,.py,419
data-preparation/src/transformation/countries/multi_selection_country_groups.py,.py,2822
data-preparation/src/transformation/countries/new_country_group_member.py,.py,1640
data-preparation/src/transformation/countries/__init__.py,.py,0
data-preparation/src/transformation/countries/data/multiselect_groups.csv,.csv,1412
data-preparation/src/transformation/demographic/countries.py,.py,2832
data-preparation/src/transformation/demographic/gdp.py,.py,5810
data-preparation/src/transformation/demographic/population.py,.py,3008
data-preparation/src/transformation/demographic/__init__.py,.py,0
data-preparation/src/transformation/ghg/cait.py,.py,9507
data-preparation/src/transformation/ghg/edgar.py,.py,3975
data-preparation/src/transformation/ghg/fao.py,.py,3401
data-preparation/src/transformation/ghg/ghg.py,.py,16965
data-preparation/src/transformation/ghg/pik.py,.py,4347
data-preparation/src/transformation/ghg/unfcc.py,.py,5485
data-preparation/src/transformation/ghg/__init__.py,.py,0
data-preparation/src/utils/compare.py,.py,756
data-preparation/src/utils/format.py,.py,957
data-preparation/src/utils/iso3166.py,.py,20118
data-preparation/src/utils/translation.py,.py,39847
data-preparation/src/utils/utils.py,.py,5451
data-preparation/src/utils/__init__.py,.py,42
server/.gitattributes,,43
server/.gitignore,,14
server/.graphqlconfig,,157
server/.prettierrc.json,.json,27
server/csv-to-sqlite.ts,.ts,2890
server/db.ts,.ts,199
server/dbSchema.ts,.ts,11277
server/global.d.ts,.ts,278
server/jest.config.js,.js,213
server/knexDatasource.ts,.ts,130
server/package.json,.json,1575
server/readme.md,.md,216
server/schema.ts,.ts,20171
server/server.ts,.ts,1120
server/tsconfig.json,.json,181
server/types.ts,.ts,65608
server/yarn.lock,.lock,261713
server/.vscode/launch.json,.json,453
server/data/CARBON_INTENSITY_OF_GDP_carbon_intensity_of_gdp_prod.csv,.csv,1962357
server/data/CO2_CBA_PER_CAPITA_eora_cba_zones_per_capita_prod.csv,.csv,1137306
server/data/CO2_CBA_PER_GDP_eora_cba_per_gdp_prod.csv,.csv,3314998
server/data/CO2_CONSUMPTION_BASED_ACCOUNTING_eora_co2_trade_by_country_prod.csv,.csv,4070617
server/data/CO2_CONSUMPTION_BASED_ACCOUNTING_eora_co2_trade_by_sector.csv,.csv,1149369
server/data/CO2_CONSUMPTION_BASED_ACCOUNTING_footprint_vs_territorial_prod.csv,.csv,1933697
server/data/country_multiselect_groups.csv,.csv,2746
server/data/DATAPORTAL_UTILS_dataportal_sources_prod.csv,.csv,17047
server/data/ENERGY_INTENSITY_OF_GDP_energies_intensities_of_gdp_prod.csv,.csv,5887532
server/data/ENERGY_PER_CAPITA_energy_per_capita_prod.csv,.csv,7764713
server/data/FINAL_ENERGY_CONSUMPTION_final_cons_by_energy_family_full_prod.csv,.csv,420488
