"sep=,"
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/forward.c.xml,ENABLE_ASYNC_PUSH;ENABLE_DEBUG;ENABLE_FRAGMENT;ENABLE_MANAGEMENT;ENABLE_MEMSTATS;HAVE_CONFIG_H;LOG_RW;PACKET_TRUNCATION_CHECK;PASSTOS_CAPABILITY;PORT_SHARE;USE_COMP;_MSC_VER;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/forward.h.xml,ENABLE_FRAGMENT;FORWARD_H;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/fragment.c.xml,ENABLE_FRAGMENT;HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/fragment.h.xml,ENABLE_FRAGMENT;FRAGMENT_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/gremlin.c.xml,ENABLE_DEBUG;HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/gremlin.h.xml,ENABLE_DEBUG;GREMLIN_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/helper.c.xml,HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/helper.h.xml,HELPER_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/httpdigest.c.xml,HAVE_CONFIG_H;PROXY_DIGEST_AUTH;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/httpdigest.h.xml,PROXY_DIGEST_AUTH
